"","STATE","Year","State Tax per pack in Dollars","Gross Cigarette Tax Revenue in Dollars","Cigarette Consumption (Pack Sales Per Capita) in Pack","Federal and State tax as a Percentage of Retail Price in Percentage","Federal and State Tax per pack in Dollars","Average Cost per pack in Dollars"
"1","AK",1970,0.08,2737000,121.3,38.3,0.16,0.418
"2","AK",1971,0.08,2996000,123,38,0.16,0.421
"3","AK",1972,0.08,3255000,130,38.1,0.16,0.42
"4","AK",1973,0.08,3274000,125.8,36.5,0.16,0.438
"5","AK",1974,0.08,3444000,130.4,35.6,0.16,0.449
"6","AK",1975,0.08,4056000,150.4,33.1,0.16,0.483
"7","AK",1976,0.08,4649000,164.8,31.1,0.16,0.515
"8","AK",1977,0.08,4868000,159.3,28.4,0.16,0.563
"9","AK",1978,0.08,4676000,143.6,28,0.16,0.571
"10","AK",1979,0.08,4451000,138.1,26.3,0.16,0.609
"11","AK",1980,0.08,4351000,134,25.2,0.16,0.635
"12","AK",1981,0.08,4607000,144,22,0.16,0.728
"13","AK",1982,0.08,4888000,148.3,18.6,0.16,0.86
"14","AK",1983,0.08,5148000,146.9,24.9,0.24,0.962
"15","AK",1984,0.08,5341000,133.6,23.4,0.24,1.027
"16","AK",1985,0.08,5395000,128.9,29.1,0.32,1.1
"17","AK",1986,0.16,8191000,126.3,26.3,0.32,1.215
"18","AK",1987,0.16,9503000,110.4,25.6,0.32,1.254
"19","AK",1988,0.16,8865000,80,23,0.32,1.394
"20","AK",1989,0.16,8130515,94.4,26.4,0.45,1.702
"21","AK",1990,0.16,13450527,100.2,22.3,0.45,2.017
"22","AK",1991,0.29,16377954,101.8,23.6,0.49,2.073
"23","AK",1992,0.29,15812651,98.5,22.4,0.49,2.191
"24","AK",1993,0.29,15321090,95.2,26.9,0.54,2.009
"25","AK",1994,0.29,15548000,94.1,25.2,0.53,2.014
"26","AK",1995,0.29,15752759,89.5,24.9,0.53,2.125
"27","AK",1996,0.29,15907733,89.9,24.7,0.53,2.144
"28","AK",1997,0.29,14379771,81.7,41.8,1.24,2.97
"29","AK",1998,0.29,28431309,78.6,37.9,1.24,3.276
"30","AK",1999,1,42915000,70.5,30.6,1.24,4.047
"31","AK",2000,1,43091506,66,30.5,1.34,4.397
"32","AK",2001,1,40893899,65.2,30.2,1.34,4.433
"33","AK",2002,1,40434020,63.7,30.3,1.39,4.591
"34","AK",2003,1,40239153,63.6,31.5,1.39,4.415
"35","AK",2004,1,41260582,63.6,27.6,1.39,5.03
"36","AK",2005,1.6,48750294,60.2,35.5,1.99,5.61
"37","AK",2006,1.6,57910992,54.5,37.6,2.19,5.819
"38","AK",2007,1.8,63849816,52.9,37.6,2.39,6.351
"39","AK",2008,2,64193492,47,35.7,2.39,6.69
"40","AK",2009,2,62882219,45.8,39.6,3.01,7.605
"41","AK",2010,2,61237633,43.8,39.6,3.01,7.607
"42","AK",2011,2,61478147,43.3,35.4,3.01,8.494
"43","AK",2012,2,59586835,41.2,36.3,3.01,8.3
"44","AK",2013,2,56983372,39,34.8,3.01,8.659
"45","AK",2014,2,54624390,37.2,33.8,3.01,8.901
"46","AK",2015,2,52702165,35.8,33.4,3.01,9.018
"47","AK",2016,2,52573488,35.6,33.4,3.01,9.013
"48","AK",2017,2,48857026,32.9,32.5,3.01,9.253
"49","AK",2018,2,46021896,31.1,32.1,3.01,9.37
"50","AK",2019,2,44773153,30.4,31.5,3.01,9.553
"51","AL",1970,0.12,36739131,89.8,46.8,0.2,0.427
"52","AL",1971,0.12,39490694,95.4,47.3,0.2,0.423
